task,points,cost,memory,params,status,correctness,note
task001,16.971871,3066,3015,51,ok,268/268,
task002,13.265164,124846,124400,446,ok,268/268,
task003,18.111428,981,898,83,ok,265/265,
task004,13.266558,124672,124469,203,ok,265/265,
task005,0.000000,6966904,6959894,7010,wrong,0/266,0/266
task006,19.870101,169,135,34,ok,266/266,
task007,17.795851,1345,1233,112,ok,266/266,
task008,12.058902,417107,416116,991,ok,266/266,
task009,10.850114,1397067,1395639,1428,ok,265/265,
task010,16.953771,3122,3075,47,ok,265/265,
task012,0.000000,206363,206304,59,wrong,0/265,0/265
task013,12.556865,253504,252511,993,ok,267/267,
task014,14.612082,32465,32374,91,ok,266/266,
task015,15.859975,9321,9234,87,ok,265/265,
task016,20.394830,100,0,100,ok,267/267,
task017,10.613487,1770040,1740077,29963,ok,266/266,
task020,14.049211,56999,56962,37,ok,266/266,
task021,0.000000,28288,28174,114,wrong,77/266,77/266
task022,14.052216,56828,56074,754,ok,266/266,
task023,13.278630,123176,75211,47965,ok,266/266,
task024,16.299985,6003,6000,3,ok,266/266,
task026,19.130703,354,330,24,ok,268/268,
task027,16.624601,4339,4205,134,ok,265/265,
task029,11.896271,490769,488013,2756,ok,266/266,
task030,15.147332,19009,18902,107,ok,266/266,
task031,15.714274,10783,10703,80,ok,266/266,
task031_gather_bool_occ,0.000000,,,,invalid,no task JSON,Traceback (most recent call last):
task047,0.000000,76569,73848,2721,wrong,0/265,0/265
task049,0.000000,,,2330,invalid,0/268,network performance could not be measured
task053,0.000000,35100,34800,300,wrong,0/60,0/60
task055,0.000000,110435,107628,2807,wrong,0/265,0/265
task057,0.000000,,,1811,invalid,265/265,network performance could not be measured
task299,16.445318,5191,5156,35,ok,21/21,
task300,16.322731,5868,5794,74,ok,267/267,
task301,15.810781,9791,9744,47,ok,266/266,
task302,14.631364,31845,31667,178,ok,266/266,
task303,14.139963,52054,52030,24,ok,265/265,
task304,16.012928,7999,7966,33,ok,266/266,
task305,14.855215,25458,25180,278,ok,266/266,
task306,14.056430,56589,56496,93,ok,265/265,
task307,21.311121,40,0,40,ok,266/266,
task309,22.697415,10,0,10,ok,265/265,
task391,19.222348,323,307,16,ok,267/267,
task392,14.427069,39063,35226,3837,ok,266/266,
task393,19.351026,284,271,13,ok,265/265,
task398,13.658480,84248,84152,96,ok,268/268,
task400,15.934917,8648,8624,24,ok,266/266,
,,,,,,,
TOTAL,598.251328,,,,,,
AVG_CORRECT,15.743456,,,,,,38 tasks
