task,points,cost,memory,params,status,correctness,note
A_centered_slice,0.000000,,,,invalid,no task JSON,Traceback (most recent call last):
C_plane_marker_gather_flat,0.000000,44807,44760,47,wrong,no task JSON,no task JSON
task001,16.971871,3066,3015,51,ok,268/268,
task001,16.971871,3066,3015,51,ok,268/268,
task002,13.265164,124846,124400,446,ok,268/268,
task002,13.265164,124846,124400,446,ok,268/268,
task003,18.434735,710,686,24,ok,265/265,
task003,18.434735,710,686,24,ok,265/265,
task004,13.998384,59971,59797,174,ok,265/265,
task004,13.998384,59971,59797,174,ok,265/265,
task005,13.592935,89955,71776,18179,ok,266/266,
task005,13.592935,89955,71776,18179,ok,266/266,
task006,19.882006,167,135,32,ok,266/266,
task006,19.882006,167,135,32,ok,266/266,
task007,17.813099,1322,1233,89,ok,266/266,
task007,17.813099,1322,1233,89,ok,266/266,
task007_compact_float,0.000000,3208,3096,112,wrong,no task JSON,no task JSON
task007_compact_u8,0.000000,1345,1233,112,wrong,no task JSON,no task JSON
task008,12.728280,213570,212588,982,ok,266/266,
task008,12.728280,213570,212588,982,ok,266/266,
task009,11.458319,760462,759033,1429,ok,265/265,
task009,11.458319,760462,759033,1429,ok,265/265,
task010,16.953771,3122,3075,47,ok,265/265,
task010,16.953771,3122,3075,47,ok,265/265,
task012,13.297347,120892,120832,60,ok,265/265,
task012,13.297347,120892,120832,60,ok,265/265,
task013,13.034643,157213,156210,1003,ok,267/267,
task013,13.034643,157213,156210,1003,ok,267/267,
task014,15.000021,22026,21975,51,ok,266/266,
task014,15.000021,22026,21975,51,ok,266/266,
task015,18.197605,900,0,900,ok,265/265,
task015,18.197605,900,0,900,ok,265/265,
task016,22.697415,10,0,10,ok,267/267,
task016,22.697415,10,0,10,ok,267/267,
task017,14.170905,50468,46334,4134,ok,266/266,
task017,14.170905,50468,46334,4134,ok,266/266,
task020,15.654430,11448,11304,144,ok,266/266,
task020,15.654430,11448,11304,144,ok,266/266,
task021,17.215111,2404,2330,74,ok,77/77,
task021,17.215111,2404,2330,74,ok,77/77,
task022,16.620691,4356,4261,95,ok,266/266,
task022,16.620691,4356,4261,95,ok,266/266,
task023,14.908913,24127,23930,197,ok,266/266,
task023,14.908913,24127,23930,197,ok,266/266,
task024,16.522796,4804,4800,4,ok,266/266,
task024,16.522796,4804,4800,4,ok,266/266,
task025,12.594720,244087,244071,16,ok,266/266,
task025,12.594720,244087,244071,16,ok,266/266,
task026,19.553263,232,205,27,ok,268/268,
task026,19.553263,232,205,27,ok,268/268,
task027,16.624601,4339,4205,134,ok,265/265,
task027,16.624601,4339,4205,134,ok,265/265,
task029,11.896271,490769,488013,2756,ok,266/266,
task029,11.896271,490769,488013,2756,ok,266/266,
task030,15.147332,19009,18902,107,ok,266/266,
task030,15.147332,19009,18902,107,ok,266/266,
task031,15.714274,10783,10703,80,ok,266/266,
task031,15.714274,10783,10703,80,ok,266/266,
task032,16.523004,4803,4770,33,ok,266/266,
task032,16.523004,4803,4770,33,ok,266/266,
task033,14.729061,28881,28541,340,ok,265/265,
task033,14.729061,28881,28541,340,ok,265/265,
task034,15.647900,11523,10478,1045,ok,267/267,
task034,15.647900,11523,10478,1045,ok,267/267,
task035,15.647206,11531,11424,107,ok,266/266,
task035,15.647206,11531,11424,107,ok,266/266,
task036,14.765986,27834,18254,9580,ok,265/265,
task036,14.765986,27834,18254,9580,ok,265/265,
task037,14.493919,36537,32900,3637,ok,266/266,
task037,14.493919,36537,32900,3637,ok,266/266,
task038,18.092245,1000,994,6,ok,266/266,
task038,18.092245,1000,994,6,ok,266/266,
task039,16.577557,4548,4544,4,ok,264/264,
task039,16.577557,4548,4544,4,ok,264/264,
task040,15.940250,8602,8162,440,ok,266/266,
task040,15.940250,8602,8162,440,ok,266/266,
task041,14.630705,31866,31809,57,ok,266/266,
task041,14.630705,31866,31809,57,ok,266/266,
task043,16.280683,6120,6120,0,ok,266/266,
task043,16.280683,6120,6120,0,ok,266/266,
task044,12.271545,337208,336761,447,ok,266/266,
task044,12.271545,337208,336761,447,ok,266/266,
task045,15.547263,12743,12700,43,ok,265/265,
task045,15.547263,12743,12700,43,ok,265/265,
task046,14.844859,25723,11987,13736,ok,267/267,
task046,14.844859,25723,11987,13736,ok,267/267,
task047,16.799437,3643,3596,47,ok,265/265,
task047,16.799437,3643,3596,47,ok,265/265,
task048,13.485266,100181,97270,2911,ok,270/270,
task048,13.485266,100181,97270,2911,ok,270/270,
task049,14.895655,24449,24311,138,ok,268/268,
task049,14.895655,24449,24311,138,ok,268/268,
task050,14.262387,46056,46020,36,ok,271/271,
task050,14.262387,46056,46020,36,ok,271/271,
task051,12.281119,333995,333714,281,ok,265/265,
task051,12.281119,333995,333714,281,ok,265/265,
task052,18.277370,831,786,45,ok,267/267,
task052,18.277370,831,786,45,ok,267/267,
task053,0.000000,240,240,0,wrong,0/60,0/60
task053,0.000000,240,240,0,wrong,0/60,0/60
task054,0.000000,3214829,3066423,148406,wrong,51/266,51/266
task054,0.000000,3214829,3066423,148406,wrong,51/266,51/266
task055,13.408125,108215,107208,1007,ok,263/263,
task055,13.408125,108215,107208,1007,ok,263/263,
task057,15.920680,8772,8736,36,ok,265/265,
task057,15.920680,8772,8736,36,ok,265/265,
task059,14.697904,29795,29429,366,ok,266/266,
task059,14.697904,29795,29429,366,ok,266/266,
task060,15.553481,12664,12615,49,ok,265/265,
task060,15.553481,12664,12615,49,ok,265/265,
task061,10.429498,2127594,2125706,1888,ok,267/267,
task061,10.429498,2127594,2125706,1888,ok,267/267,
task062,14.610297,32523,32403,120,ok,267/267,
task062,14.610297,32523,32403,120,ok,267/267,
task063,15.933992,8656,8644,12,ok,266/266,
task063,15.933992,8656,8644,12,ok,266/266,
task064,14.176110,50206,50164,42,ok,267/267,
task064,14.176110,50206,50164,42,ok,267/267,
task065,14.668112,30696,30622,74,ok,266/266,
task065,14.668112,30696,30622,74,ok,266/266,
task066,13.632147,86496,85489,1007,ok,266/266,
task066,13.632147,86496,85489,1007,ok,266/266,
task067,17.329105,2145,2143,2,ok,266/266,
task067,17.329105,2145,2143,2,ok,266/266,
task068,15.483794,13578,13563,15,ok,266/266,
task068,15.483794,13578,13563,15,ok,266/266,
task069,12.557378,253374,248599,4775,ok,264/264,
task069,12.557378,253374,248599,4775,ok,264/264,
task070,15.161851,18735,18663,72,ok,266/266,
task070,15.161851,18735,18663,72,ok,266/266,
task071,13.890587,66797,66392,405,ok,265/265,
task071,13.890587,66797,66392,405,ok,265/265,
task073,18.123735,969,825,144,ok,15/15,
task073,18.123735,969,825,144,ok,15/15,
task074,13.674960,82871,82800,71,ok,267/267,
task074,13.674960,82871,82800,71,ok,267/267,
task075,15.872063,9209,7569,1640,ok,265/265,
task075,15.872063,9209,7569,1640,ok,265/265,
task076,13.563729,92621,31988,60633,ok,266/266,
task076,13.563729,92621,31988,60633,ok,266/266,
task077,12.979763,166082,53650,112432,ok,266/266,
task077,12.979763,166082,53650,112432,ok,266/266,
task078,16.977103,3050,3020,30,ok,266/266,
task078,16.977103,3050,3020,30,ok,266/266,
task081,16.587279,4504,4089,415,ok,264/264,
task081,16.587279,4504,4089,415,ok,264/264,
task082,16.214460,6539,6488,51,ok,265/265,
task082,16.214460,6539,6488,51,ok,265/265,
task083,16.807153,3615,3600,15,ok,266/266,
task083,16.807153,3615,3600,15,ok,266/266,
task084,13.558785,93080,92994,86,ok,175/175,
task084,13.558785,93080,92994,86,ok,175/175,
task085,13.741838,77510,77400,110,ok,265/265,
task085,13.741838,77510,77400,110,ok,265/265,
task086,14.371867,41280,41150,130,ok,266/266,
task086,14.371867,41280,41150,130,ok,266/266,
task087,19.091917,368,360,8,ok,266/266,
task087,19.091917,368,360,8,ok,266/266,
task088,14.594859,33029,32931,98,ok,267/267,
task088,14.594859,33029,32931,98,ok,267/267,
task090,0.000000,24442,24308,134,wrong,0/267,0/267
task090,0.000000,24442,24308,134,wrong,0/267,0/267
task091,14.525702,35394,35283,111,ok,266/266,
task091,14.525702,35394,35283,111,ok,266/266,
task092,12.562665,252038,251946,92,ok,265/265,
task092,12.562665,252038,251946,92,ok,265/265,
task093,14.584378,33377,33293,84,ok,265/265,
task093,14.584378,33377,33293,84,ok,265/265,
task094,14.751080,28252,27380,872,ok,265/265,
task094,14.751080,28252,27380,872,ok,265/265,
task095,16.444163,5197,5184,13,ok,265/265,
task095,16.444163,5197,5184,13,ok,265/265,
task096,14.216823,48203,13520,34683,ok,266/266,
task096,14.216823,48203,13520,34683,ok,266/266,
task097,14.204146,48818,48800,18,ok,267/267,
task097,14.204146,48818,48800,18,ok,267/267,
task098,14.064485,56135,55976,159,ok,266/266,
task098,14.064485,56135,55976,159,ok,266/266,
task099,15.028994,21397,20508,889,ok,265/265,
task099,15.028994,21397,20508,889,ok,265/265,
task100,16.554303,4655,4622,33,ok,266/266,
task100,16.554303,4655,4622,33,ok,266/266,
task101,14.991837,22207,17528,4679,ok,266/266,
task101,14.991837,22207,17528,4679,ok,266/266,
task103,20.163718,126,100,26,ok,223/223,
task103,20.163718,126,100,26,ok,223/223,
task104,16.525088,4793,4449,344,ok,7/7,
task104,16.525088,4793,4449,344,ok,7/7,
